precio,titulo,detalles,habitaciones,banos,m2,url,zona,portal,fecha
0,Sin título, | Ayer | Top+ | 2 habs· | 2 baños· | 248 m²· | 2ª planta· | Ascensor· | Calefacción· | Aire acondicionado |  | ,2.0,2.0,248.0,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-zona-comunitaria-ascensor-piscina-no-amueblado/188840451/d?from=list&multimedia=image&isGalleryOpen=true&isZoomGalleryOpen=true,madrid-provincia,Fotocasa,2026-02-15
0,Sin título, | Más de 3 meses | Top+ | 2 habs· | 2 baños· | 89 m²· | 1ª planta· | Ascensor· | Calefacción· | Aire acondicionado |  | ,2.0,2.0,89.0,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado/187452244/d?from=list&multimedia=image&isGalleryOpen=true&isZoomGalleryOpen=true,madrid-provincia,Fotocasa,2026-02-15
0,Sin título,‌ | ‌ | ‌ | ‌ | ‌,,,,,madrid-provincia,Fotocasa,2026-02-15
0,Sin título,‌ | ‌ | ‌ | ‌ | ‌,,,,,madrid-provincia,Fotocasa,2026-02-15
0,Sin título, | Más de 3 meses | Top+ | 5 habs· | 5 baños· | 235 m²· | 1ª planta· | Ascensor· | Parking· | Terraza· | Aire acondicionado |  | ,5.0,5.0,235.0,https://www.fotocasa.es/es/comprar/vivienda/la-moraleja/aire-acondicionado-parking-jardin-terraza-trastero-ascensor-piscina/187965029/d?from=list&multimedia=image&isGalleryOpen=true&isZoomGalleryOpen=true,madrid-provincia,Fotocasa,2026-02-15
0,Sin título, | Más de 3 meses | Top+ | 2 habs· | 1 baño· | 56 m²· | 2ª planta· | Ascensor· | Calefacción· | Aire acondicionado |  | ,2.0,1.0,56.0,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado/186623256/d?from=list&multimedia=image&isGalleryOpen=true&isZoomGalleryOpen=true,madrid-provincia,Fotocasa,2026-02-15
0,Sin título, | Más de 3 meses | Top+ | 4 habs· | 4 baños· | 253 m²· | 1ª planta· | Ascensor· | Calefacción· | Aire acondicionado· | Trastero |  | ,4.0,4.0,253.0,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-ascensor/187615930/d?from=list&multimedia=image&isGalleryOpen=true&isZoomGalleryOpen=true,madrid-provincia,Fotocasa,2026-02-15
0,Sin título, | Más de 3 meses | Top+ | 2 habs· | 2 baños· | 87 m²· | sótano· | Terraza· | Calefacción |  | ,2.0,2.0,87.0,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-jardin-terraza-amueblado/185205784/d?from=list&multimedia=image&isGalleryOpen=true&isZoomGalleryOpen=true,madrid-provincia,Fotocasa,2026-02-15
0,Sin título,‌ | ‌ | ‌ | ‌ | ‌,,,,,madrid-provincia,Fotocasa,2026-02-15
0,Sin título, | Más de 3 meses | Top+ | 2 habs· | 1 baño· | 100 m²· | 4ª planta· | Terraza· | Calefacción |  | ,2.0,1.0,100.0,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-no-amueblado/187153884/d?from=list&multimedia=image&isGalleryOpen=true&isZoomGalleryOpen=true,madrid-provincia,Fotocasa,2026-02-15
0,Sin título, | Hace 86 días | Top+ | 4 habs· | 2 baños· | 100 m²· | 3ª planta· | Ascensor· | Terraza· | Calefacción |  | ,4.0,2.0,100.0,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-ascensor/188172766/d?from=list&multimedia=image&isGalleryOpen=true&isZoomGalleryOpen=true,madrid-provincia,Fotocasa,2026-02-15
0,Sin título, | 1 hab· | 1 baño· | 81 m²· | bajos | Hace 89 días | Top+,1.0,1.0,81.0,https://www.fotocasa.es/es/comprar/vivienda/obra-nueva/madrid-capital/20603108/188142428?from=list&multimedia=image&isGalleryOpen=true&isZoomGalleryOpen=true,madrid-provincia,Fotocasa,2026-02-15
